idquest,cluster,target
11110200101.0,0,0
11110200401.0,0,0
11110200501.0,0,0
11110200601.0,0,1
11110200701.0,0,0
11110200801.0,0,0
11110200901.0,0,0
11110201101.0,0,1
11110201301.0,0,1
11110201401.0,0,0
11110201501.0,0,0
11110201701.0,0,1
11110201801.0,0,1
11110201901.0,0,1
11110202001.0,0,1
11110202101.0,0,1
11110202201.0,0,1
11110202301.0,0,1
11110202401.0,0,1
11110202402.0,0,1
11110202601.0,0,1
11110202801.0,0,1
11110202902.0,0,0
11110203001.0,0,1
11110203101.0,0,0
11110203301.0,0,1
11110203501.0,0,0
11110203601.0,0,1
11110203801.0,0,1
11110203901.0,0,1
11110204001.0,0,1
11110204101.0,0,1
11110204301.0,0,0
11110204401.0,0,1
11110204501.0,0,1
11110204601.0,0,0
11110204801.0,0,1
11110204901.0,0,1
11110205001.0,0,1
11110205101.0,0,1
11110205201.0,0,1
11110205401.0,0,1
11110205501.0,0,1
11110300101.0,0,1
11110300201.0,0,1
11110300301.0,0,1
11110300401.0,0,1
11110300601.0,0,1
11110300701.0,0,1
11110300801.0,0,1
11110300901.0,0,0
11110301001.0,0,1
11110301101.0,0,1
11110301201.0,0,1
11110301301.0,0,1
11110301401.0,0,1
11110301501.0,0,1
11110301601.0,0,1
11110301701.0,0,1
11110301801.0,0,0
11110301901.0,0,0
11110302101.0,0,1
11110302201.0,0,1
11110400101.0,0,1
11110400201.0,0,1
11110400301.0,0,1
11110400401.0,0,1
11110400501.0,0,0
11110400601.0,0,0
11110400701.0,0,1
11110500201.0,0,1
11110500501.0,0,1
11110500601.0,1,1
11110500701.0,0,0
11110500901.0,0,0
11110501001.0,0,0
11110501101.0,0,1
11110501501.0,1,1
11110600101.0,0,0
11110600201.0,0,1
11110600301.0,0,1
11110600401.0,0,0
11110600501.0,0,0
11110600601.0,0,1
11110600701.0,0,0
11110600901.0,0,0
11110601101.0,0,1
11110601301.0,0,1
11110601401.0,0,0
11110601601.0,0,1
11110601701.0,0,1
11110602001.0,0,0
11110602101.0,0,0
11110602201.0,0,0
11110602301.0,0,1
11110602302.0,0,1
11110602401.0,0,0
11110602501.0,0,0
11110602601.0,0,1
11110800201.0,0,1
11110800202.0,0,0
11110800501.0,0,0
11110800701.0,0,1
11110800901.0,0,1
11110801001.0,0,0
11110801101.0,0,0
11110801201.0,0,0
11110801301.0,0,1
11110801401.0,0,1
11110801501.0,0,1
11110801601.0,0,0
11110801701.0,0,0
11110801801.0,0,1
11110801901.0,0,1
11110802001.0,0,1
11110802101.0,0,1
11110802201.0,0,0
11110802301.0,0,0
11110802601.0,0,1
11110802701.0,0,0
11110802801.0,0,1
11110802901.0,0,0
11110803001.0,0,1
11110803101.0,0,0
11110803301.0,0,1
11110803401.0,0,1
11110803501.0,0,0
11110803901.0,0,1
11110804001.0,0,1
11110804101.0,0,1
11110804201.0,0,0
11110804301.0,0,1
11110900101.0,0,0
11110900201.0,0,1
11110900301.0,0,1
11110900501.0,0,0
11110900601.0,0,1
11110900701.0,0,0
11110900901.0,0,1
11110901001.0,0,0
11110901101.0,0,0
11110901201.0,0,0
11110901301.0,0,0
11110901401.0,0,0
11110901501.0,0,1
11110901601.0,0,0
11110901701.0,0,0
11110901801.0,0,1
11110901901.0,0,1
11110902001.0,0,0
11110902101.0,0,1
11110902201.0,0,1
11110902301.0,0,0
11110902401.0,0,1
11110902501.0,0,1
11110902601.0,0,1
11111000101.0,0,0
11111000201.0,0,0
11111000401.0,0,1
11111000601.0,0,1
11111000801.0,0,0
11111000901.0,0,1
11111001001.0,0,0
11111001201.0,0,0
11111001301.0,0,1
11111100101.0,0,0
11111100201.0,0,0
11111100301.0,0,1
11111100401.0,0,1
11111100501.0,0,1
11111100601.0,0,1
11111100701.0,0,0
11111101001.0,0,1
11111101101.0,0,1
11111101201.0,0,1
11111101301.0,0,1
11111200101.0,0,0
11111200201.0,0,1
11111200301.0,0,1
11111200401.0,0,0
11111200501.0,0,1
11111200701.0,0,0
11111200901.0,0,1
11111201001.0,0,1
11111201101.0,0,1
11111201201.0,0,0
11111201401.0,0,0
11111400101.0,0,1
11111400201.0,0,1
11111400301.0,0,1
11111400501.0,0,0
11111400601.0,0,1
11111400701.0,0,1
11111400801.0,0,1
11111401201.0,0,1
11111401501.0,0,0
11111401701.0,0,0
11111401901.0,0,0
11111402001.0,0,0
11111402301.0,0,1
11111402601.0,0,0
11111403101.0,0,0
11111403201.0,0,1
11111403401.0,0,0
11111403601.0,0,1
11111403802.0,0,1
11111403901.0,0,0
11111404001.0,0,1
11111404401.0,0,0
11111404701.0,0,0
11111405301.0,0,1
11111405401.0,0,0
11111405501.0,0,1
11111405601.0,0,1
11111405801.0,0,1
11111405802.0,0,1
11111405901.0,0,1
11111406001.0,0,1
11111406501.0,0,1
11111406601.0,0,0
11111600101.0,0,1
11111600201.0,0,1
11111600301.0,0,0
11111600401.0,0,1
11111600601.0,0,1
11111600801.0,0,0
11111600901.0,0,1
11111700101.0,0,1
11111700201.0,0,1
11111700301.0,0,0
11111700401.0,0,0
11111700501.0,0,1
11111800101.0,0,1
11111800201.0,0,1
11111800301.0,0,1
11111800401.0,0,0
11111800501.0,0,1
11111800601.0,0,0
11111800701.0,0,0
11111800801.0,0,1
11111800901.0,0,1
11111801001.0,0,0
11111801101.0,0,0
11111801201.0,0,1
11111801301.0,0,1
11111801401.0,0,1
11111801601.0,0,0
11111801701.0,0,1
11111802001.0,0,1
11111802201.0,0,0
11111802301.0,0,1
11111802401.0,0,0
11111802501.0,0,0
11111802701.0,0,0
11111802901.0,0,1
11111803001.0,1,0
11112000101.0,0,1
11112000201.0,0,0
11112000301.0,0,1
11112000501.0,0,0
11112000701.0,0,0
11112000901.0,0,1
11112001001.0,0,1
11112001101.0,0,1
11112001601.0,0,0
11112001701.0,0,0
11112002001.0,0,0
11112002201.0,0,1
